street,name,lon,lat,religion,county,subcounty,type
address unknown,assumption of mary catholic church umoja,36.888573,-1.281862,christian,nairobi city,embakasi,religion
address unknown,international bible students association (jehovah's witnesses)church,36.777664,-1.295148,christian,nairobi city,westlands,religion
address unknown,soweto west llc church,36.776017,-1.313806,christian,nairobi city,kibra,religion
state house cre,aic milimani,36.810414,-1.287156,christian,nairobi city,westlands,religion
address unknown,pefa church imara daima,36.885918,-1.321973,christian,nairobi city,embakasi,religion
address unknown,maji mazuri gospel church,36.884457,-1.319684,christian,nairobi city,embakasi,religion
address unknown,mukuru catholic church,36.881184,-1.314594,christian,nairobi city,embakasi,religion
address unknown,truth and freedom ministries,36.884824,-1.314425,christian,nairobi city,embakasi,religion
address unknown,african inland church bethany,36.886599,-1.316536,christian,nairobi city,embakasi,religion
address unknown,blessed mountain center,36.886826,-1.317951,christian,nairobi city,embakasi,religion
address unknown,masjid bukhari,36.822031,-1.324249,muslim,nairobi city,langata,religion
address unknown,masjid noor south c,36.824005,-1.312137,muslim,nairobi city,langata,religion
address unknown,st. peter's methodist church,36.785525,-1.327312,christian,nairobi city,langata,religion
address unknown,the church of jesus christ of latter-day saints,36.891619,-1.213298,christian,nairobi city,kasarani,religion
address unknown,tassia central sda,36.905981,-1.30166,christian,nairobi city,embakasi,religion
ngong road,adams's arcade mosque,36.781087,-1.300304,muslim,nairobi city,kibra,religion
mombasa road,international christian church center,36.876682,-1.326279,christian,nairobi city,embakasi,religion
address unknown,st. john everlasting gospel church,36.881724,-1.324615,christian,nairobi city,embakasi,religion
address unknown,cathedral of praise ministries and king solomon education center,36.883663,-1.323855,christian,nairobi city,embakasi,religion
address unknown,reuben center,36.869217,-1.315916,christian,nairobi city,embakasi,religion
address unknown,agape fellowship church,36.874406,-1.318334,christian,nairobi city,embakasi,religion
address unknown,memon mosque,36.824375,-1.323527,muslim,nairobi city,langata,religion
address unknown,aic lunga lunga church,36.870743,-1.311585,christian,nairobi city,makadara,religion
address unknown,st. bakhita catholic church,36.888748,-1.325324,christian,nairobi city,embakasi,religion
address unknown,church on the rock,36.87327,-1.314934,christian,nairobi city,embakasi,religion
address unknown,faith healing center,36.86641,-1.316593,christian,nairobi city,embakasi,religion
address unknown,apostolic faith church,36.869309,-1.313926,christian,nairobi city,embakasi,religion
address unknown,jesus sanctuary,36.868967,-1.315612,christian,nairobi city,embakasi,religion
address unknown,rabii church of the holy spirit,36.885761,-1.313089,christian,nairobi city,embakasi,religion
address unknown,jehova witness church,36.867915,-1.31374,christian,nairobi city,embakasi,religion
address unknown,al-huda mosque kwa njenga,36.882807,-1.314806,muslim,nairobi city,embakasi,religion
address unknown,light evangelical church,36.871264,-1.313269,christian,nairobi city,embakasi,religion
address unknown,goshen pentecostal church,36.865078,-1.31555,christian,nairobi city,embakasi,religion
address unknown,viwandani fellowship cemter,36.870167,-1.313379,christian,nairobi city,embakasi,religion
address unknown,reuben baptist church,36.866217,-1.316008,christian,nairobi city,embakasi,religion
