street,company_name,lon,lat,landuse,county,subcounty,type
commercial street,unknown,36.8307477,-1.3266153,industrial,nairobi city,starehe,industry
unknown,unknown,36.8307772,-1.3267722,industrial,nairobi city,njiru,industry
kangundo road,unknown,36.8308094,-1.3269223,industrial,nairobi city,njiru,industry
mombasa road,unknown,36.8308289,-1.3270699,industrial,nairobi city,starehe,industry
enterprise road,unknown,36.9090628,-1.3550652,industrial,nairobi city,embakasi,industry
enterprise road,factory workshop,36.8429664,-1.3032745,industrial,nairobi city,embakasi,industry
kangundo road,factory blocks,36.8428335,-1.3034948,industrial,nairobi city,njiru,industry
kangundo road,unknown,36.9097652,-1.2371767,industrial,nairobi city,njiru,industry
kangundo road,kbc radio transmisison site,36.7507694,-1.3564626,industrial,nairobi city,njiru,industry
old mombosa road,unknown,36.7703154,-1.2830033,industrial,nairobi city,langata,industry
old mombosa road,unknown,36.9167458,-1.3077669,industrial,nairobi city,langata,industry
old mombasa road,factory street,36.8333954,-1.2883087,industrial,nairobi city,langata,industry
old mombasa road,unknown,36.8840172,-1.3018151,industrial,nairobi city,langata,industry
kasarani mwiki road,unknown,36.7283477,-1.2611265,industrial,nairobi city,kasarani,industry
kasarani mwiki road,velpal em ltd,36.8727909,-1.3185536,industrial,nairobi city,kasarani,industry
clay city masournets,tanad transporters ltd,36.8729985,-1.3186068,industrial,nairobi city,kasarani,industry
unknown,eas juja ltd,36.873441,-1.3189205,industrial,nairobi city,starehe,industry
unknown,bamburi cement ltd-ruben,36.8669598,-1.3188024,industrial,nairobi city,makadara,industry
unknown,meds ltd-rubed,36.8680492,-1.3191817,industrial,nairobi city,starehe,industry
mombasa road,ng'ombe industry-ruben,36.867654,-1.3190672,industrial,nairobi city,embakasi,industry
mombasa road,roll mill ltd-ruben,36.8690335,-1.3199152,industrial,nairobi city,embakasi,industry
unknown,roto moulders ltd,36.8642084,-1.3170488,industrial,nairobi city,westlands,industry
kangundo road,sun flower ltd-ruben,36.8719023,-1.3210096,industrial,nairobi city,njiru,industry
unknown,wood product ltd-ruben,36.8697392,-1.3202429,industrial,nairobi city,njiru,industry
unknown,accrow industry,36.8695498,-1.3233382,industrial,nairobi city,langata,industry
unknown,elite tools industry,36.8692427,-1.32518,industrial,nairobi city,langata,industry
unknown,ellys chemicals industry,36.8650582,-1.3203685,industrial,nairobi city,langata,industry
unknown,ganijee glassmart company,36.8646195,-1.3200878,industrial,nairobi city,langata,industry
unknown,general plastics company,36.8680513,-1.3218035,industrial,nairobi city,makadara,industry
unknown,hydro well service company,36.8660021,-1.3203022,industrial,nairobi city,njiru,industry
unknown,unknown,36.8654175,-1.3212904,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8651936,-1.3215234,industrial,nairobi city,embakasi,industry
unknown,kenya hoticultural export,36.8674846,-1.3233496,industrial,nairobi city,kasarani,industry
unknown,kenya litho company,36.8638017,-1.3191907,industrial,nairobi city,embakasi,industry
unknown,mac loy company,36.8642673,-1.3197732,industrial,nairobi city,embakasi,industry
unknown,marshall fowler industry,36.8683081,-1.3223381,industrial,nairobi city,embakasi,industry
unknown,mech cussion industry,36.8656591,-1.3208855,industrial,nairobi city,embakasi,industry
unknown,nas service industry,36.8692085,-1.3226579,industrial,nairobi city,embakasi,industry
unknown,nas service industry,36.8689571,-1.3232747,industrial,nairobi city,langata,industry
unknown,silencer industry,36.8669929,-1.3208504,industrial,nairobi city,langata,industry
unknown,swan transporters,36.8676628,-1.3215284,industrial,nairobi city,langata,industry
unknown,tarpo tents industry,36.8691785,-1.3243733,industrial,nairobi city,langata,industry
